               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047066,            0.016024,           0.0062247,             0.37932,             0.39561,             0.30933,             0.10883,            0.053482,            0.011965,            0.016034,            0.002872,            0.002872,            0.002872
                  38,            0.046204,            0.016164,            0.005829,             0.35508,             0.38421,             0.30815,             0.10201,            0.053935,            0.011839,            0.017098,            0.002674,            0.002674,            0.002674
                  39,            0.046252,            0.015709,           0.0067543,             0.42983,             0.37137,              0.3301,             0.11091,            0.053545,            0.011918,            0.017589,            0.002476,            0.002476,            0.002476
                  40,            0.045966,            0.015703,           0.0051448,             0.48241,             0.35544,             0.32913,             0.10962,            0.052884,             0.01207,            0.016133,            0.002278,            0.002278,            0.002278
                  41,            0.045673,            0.015348,           0.0064392,             0.47811,             0.36634,             0.34799,             0.12233,            0.053592,            0.011854,            0.016654,             0.00208,             0.00208,             0.00208
                  42,             0.04517,            0.015395,           0.0057385,             0.40862,             0.34223,             0.30481,            0.099136,            0.053234,            0.011843,            0.017597,            0.001882,            0.001882,            0.001882
                  43,            0.044754,            0.015851,           0.0053535,             0.32345,             0.41409,             0.33586,             0.10452,            0.054214,             0.01202,            0.017689,            0.001684,            0.001684,            0.001684
                  44,            0.043289,            0.014869,           0.0050291,             0.42457,             0.31859,             0.33419,             0.11057,            0.053295,            0.011914,            0.018218,            0.001486,            0.001486,            0.001486
                  45,            0.044114,            0.015627,            0.005735,             0.39755,              0.3198,             0.30134,             0.10472,            0.052643,            0.011983,            0.017754,            0.001288,            0.001288,            0.001288
                  46,            0.043543,            0.015587,           0.0054605,             0.42846,             0.36344,             0.32317,             0.10725,            0.053048,            0.012001,            0.017354,             0.00109,             0.00109,             0.00109
                  47,             0.04325,            0.015428,           0.0049477,             0.39265,             0.39002,             0.32599,             0.11799,            0.052756,            0.012095,            0.018268,            0.000892,            0.000892,            0.000892
                  48,            0.042912,            0.014936,           0.0044106,             0.42358,             0.37479,             0.33593,             0.11895,            0.052572,            0.012107,            0.018345,            0.000694,            0.000694,            0.000694
                  49,            0.042322,            0.014803,           0.0048464,             0.42102,              0.4107,             0.34265,             0.12056,            0.052835,            0.012129,             0.01811,            0.000496,            0.000496,            0.000496
